"","X","Y","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area","log.Y","log.DC","log.RH","log.wind","log.area"
"1",7,5,86.2,26.2,94.3,5.1,8.2,51,6.7,0,0,1.6094379124341,4.55702981066016,3.93182563272433,1.90210752639692,0
"2",7,4,90.6,35.4,669.1,6.7,18,33,0.9,0,0,1.38629436111989,6.50742695497912,3.49650756146648,-0.105360515657826,0
"3",7,4,90.6,43.7,686.9,6.7,14.6,33,1.3,0,0,1.38629436111989,6.53364347853197,3.49650756146648,0.262364264467491,0
"4",8,6,91.7,33.3,77.5,9,8.3,97,4,0.2,0,1.79175946922805,4.36309862478836,4.57471097850338,1.38629436111989,0
"5",8,6,89.3,51.3,102.2,9.6,11.4,99,1.8,0,0,1.79175946922805,4.63666885304746,4.59511985013459,0.587786664902119,0
"6",8,6,92.3,85.3,488,14.7,22.2,29,5.4,0,0,1.79175946922805,6.19236248947487,3.36729582998647,1.68639895357023,0
"7",8,6,92.3,88.9,495.6,8.5,24.1,27,3.1,0,0,1.79175946922805,6.20778487307407,3.29583686600433,1.1314021114911,0
"8",8,6,91.5,145.4,608.2,10.7,8,86,2.2,0,0,1.79175946922805,6.41214662102101,4.45434729625351,0.78845736036427,0
"9",8,6,91,129.5,692.6,7,13.1,63,5.4,0,0,1.79175946922805,6.54189542546633,4.14313472639153,1.68639895357023,0
"10",7,5,92.5,88,698.6,7.1,22.8,40,4,0,0,1.6094379124341,6.55050874314445,3.68887945411394,1.38629436111989,0
"11",7,5,92.5,88,698.6,7.1,17.8,51,7.2,0,0,1.6094379124341,6.55050874314445,3.93182563272433,1.97408102602201,0
"12",7,5,92.8,73.2,713,22.6,19.3,38,4,0,0,1.6094379124341,6.57088296233958,3.63758615972639,1.38629436111989,0
"13",6,5,63.5,70.8,665.3,0.8,17,72,6.7,0,0,1.6094379124341,6.50174001956849,4.27666611901606,1.90210752639692,0
"14",6,5,90.9,126.5,686.5,7,21.3,42,2.2,0,0,1.6094379124341,6.53306182954073,3.73766961828337,0.78845736036427,0
"15",6,5,92.9,133.3,699.6,9.2,26.4,21,4.5,0,0,1.6094379124341,6.55193711076339,3.04452243772342,1.50407739677627,0
"16",6,5,93.3,141.2,713.9,13.9,22.9,44,5.4,0,0,1.6094379124341,6.57214267277281,3.78418963391826,1.68639895357023,0
"17",5,5,91.7,35.8,80.8,7.8,15.1,27,5.4,0,0,1.6094379124341,4.4042772436087,3.29583686600433,1.68639895357023,0
"18",8,5,84.9,32.8,664.2,3,16.7,47,4.9,0,0,1.6094379124341,6.50008774731877,3.85014760171006,1.58923520511658,0
"19",6,4,89.2,27.9,70.8,6.3,15.9,35,4,0,0,1.38629436111989,4.27388447605418,3.55534806148941,1.38629436111989,0
"20",6,4,86.3,27.4,97.1,5.1,9.3,44,4.5,0,0,1.38629436111989,4.58598736657132,3.78418963391826,1.50407739677627,0
"21",6,4,91,129.5,692.6,7,18.3,40,2.7,0,0,1.38629436111989,6.54189542546633,3.68887945411394,0.993251773010283,0
"22",5,4,91.8,78.5,724.3,9.2,19.1,38,2.7,0,0,1.38629436111989,6.58658536236937,3.63758615972639,0.993251773010283,0
"23",7,4,94.3,96.3,200,56.1,21,44,4.5,0,0,1.38629436111989,5.30330490805908,3.78418963391826,1.50407739677627,0
"24",7,4,90.2,110.9,537.4,6.2,19.5,43,5.8,0,0,1.38629436111989,6.28860177833052,3.76120011569356,1.75785791755237,0
"25",7,4,93.5,139.4,594.2,20.3,23.7,32,5.8,0,0,1.38629436111989,6.38889748351888,3.46573590279973,1.75785791755237,0
"26",7,4,91.4,142.4,601.4,10.6,16.3,60,5.4,0,0,1.38629436111989,6.40092167648568,4.0943445622221,1.68639895357023,0
"27",7,4,92.4,117.9,668,12.2,19,34,5.8,0,0,1.38629436111989,6.50578406012823,3.52636052461616,1.75785791755237,0
"28",7,4,90.9,126.5,686.5,7,19.4,48,1.3,0,0,1.38629436111989,6.53306182954073,3.87120101090789,0.262364264467491,0
"29",6,3,93.4,145.4,721.4,8.1,30.2,24,2.7,0,0,1.09861228866811,6.58257900210278,3.17805383034795,0.993251773010283,0
"30",6,3,93.5,149.3,728.6,8.1,22.8,39,3.6,0,0,1.09861228866811,6.59249643876012,3.66356164612965,1.28093384546206,0
"31",6,3,94.3,85.1,692.3,15.9,25.4,24,3.6,0,0,1.09861228866811,6.54146280594844,3.17805383034795,1.28093384546206,0
"32",6,3,88.6,91.8,709.9,7.1,11.2,78,7.6,0,0,1.09861228866811,6.56653177293544,4.35670882668959,2.02814824729229,0
"33",6,3,88.6,69.7,706.8,5.8,20.6,37,1.8,0,0,1.09861228866811,6.56216156791136,3.61091791264422,0.587786664902119,0
"34",6,3,91.7,75.6,718.3,7.8,17.7,39,3.6,0,0,1.09861228866811,6.57827851687331,3.66356164612965,1.28093384546206,0
"35",6,3,91.8,78.5,724.3,9.2,21.2,32,2.7,0,0,1.09861228866811,6.58658536236937,3.46573590279973,0.993251773010283,0
"36",6,3,90.3,80.7,730.2,6.3,18.2,62,4.5,0,0,1.09861228866811,6.59468702013994,4.12713438504509,1.50407739677627,0
"37",6,3,90.6,35.4,669.1,6.7,21.7,24,4.5,0,0,1.09861228866811,6.50742695497912,3.17805383034795,1.50407739677627,0
"38",7,4,90,41.5,682.6,8.7,11.3,60,5.4,0,0,1.38629436111989,6.52737295124144,4.0943445622221,1.68639895357023,0
"39",7,3,90.6,43.7,686.9,6.7,17.8,27,4,0,0,1.09861228866811,6.53364347853197,3.29583686600433,1.38629436111989,0
"40",4,4,88.1,25.7,67.6,3.8,14.1,43,2.7,0,0,1.38629436111989,4.22829253473184,3.76120011569356,0.993251773010283,0
"41",4,4,79.5,60.6,366.7,1.5,23.3,37,3.1,0,0,1.38629436111989,5.90726738830723,3.61091791264422,1.1314021114911,0
"42",4,4,90.2,96.9,624.2,8.9,18.4,42,6.7,0,0,1.38629436111989,6.43807159854732,3.73766961828337,1.90210752639692,0
"43",4,4,94.8,108.3,647.1,17,16.6,54,5.4,0,0,1.38629436111989,6.47404500543367,3.98898404656427,1.68639895357023,0
"44",4,4,92.5,88,698.6,7.1,19.6,48,2.7,0,0,1.38629436111989,6.55050874314445,3.87120101090789,0.993251773010283,0
"45",4,4,90.1,82.9,735.7,6.2,12.9,74,4.9,0,0,1.38629436111989,6.60218075368877,4.30406509320417,1.58923520511658,0
"46",5,6,94.3,85.1,692.3,15.9,25.9,24,4,0,0,1.79175946922805,6.54146280594844,3.17805383034795,1.38629436111989,0
"47",5,6,90.9,126.5,686.5,7,14.7,70,3.6,0,0,1.79175946922805,6.53306182954073,4.24849524204936,1.28093384546206,0
"48",6,6,94.2,62.3,442.9,11,23,36,3.1,0,0,1.79175946922805,6.09559931183999,3.58351893845611,1.1314021114911,0
"49",4,4,87.2,23.9,64.7,4.1,11.8,35,1.8,0,0,1.38629436111989,4.18509892549057,3.55534806148941,0.587786664902119,0
"50",4,4,87.6,52.2,103.8,5,11,46,5.8,0,0,1.38629436111989,4.65205377188694,3.8286413964891,1.75785791755237,0
"51",4,4,92.9,137,706.4,9.2,20.8,17,1.3,0,0,1.38629436111989,6.56159627677138,2.83321334405622,0.262364264467491,0
"52",4,3,90.2,99.6,631.2,6.3,21.5,34,2.2,0,0,1.09861228866811,6.44920579978152,3.52636052461616,0.78845736036427,0
"53",4,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0,0,1.09861228866811,6.48478789573783,3.73766961828337,1.58923520511658,0
"54",4,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0,0,1.09861228866811,6.48478789573783,3.73766961828337,1.58923520511658,0
"55",4,3,91.7,114.3,661.3,6.3,17.6,45,3.6,0,0,1.09861228866811,6.49571862549093,3.80666248977032,1.28093384546206,0
